Product,Qty
SF DARK FANTASY CHOCOLATE 83GM4072.00,13
SF MARIE LIGHT VEDA 248.6GM(40)36.00,36
SF ARROEROOT THIN 300GM 50,16
AJMISTEM PUTTUPODI500GM,100
AJMI RICE PWD 500GM,100
SLICE 1.2 LTR,3
PEPSI 750ML,24
LEHAR SODA 750ML,24
PEPSI 2.25L,3
PEPSI 750ML,15
SF AASHIRVAAD ATTA 2KG,15
SF AASHIRVAD ATTA SUPERIOR 1KG30.00,63
YIPPEEI ND MOOD MASALA 70GM48.00,13
OREO ORIGINAL VANILLA 41.75G RS10 120N120.00,8
OREO CHOCOLATE MRP10,120
KADAMKULATHY MULTI MILLET STEAM PUTTUPODI 500GM 903.00,72
KANDAMKULATHY RAGI STEAM PUTTU PODI 500GM 753.00,60
KANDAMKULATHY CORN STEM PUTTUPODI 500GM 603.00,48
KANDAMKULATHY MULTI GRAIN STEAM PUTTUPODI 500GM 703.00,56
KANDAMKULATHY CORN RAVA 500GM3.00,51
KANDAMKULATHI ELADI 125JAR205.00,0
BELLAM 250G,20
BELLAM 1KG,60
RAVA 250GM,20
ELITE BRAN FLAKES 34KG,2
RAVA 500GM,20
RAVA 1KG,15
SF BOUNCE CREAM CHOCO TWI 62GM24.00,8
SF DARK FANTASY BOURBON 150GM(35)144.00,11
SF BOUNCE CREAM PINEAPPLE 62.GM24.00,8
SF BOUNCE CREAM ELAICHI DELI 62GM24.00,8
SF BOUNCE CREAM TANGY ORA 62GM24.00,8
SF MOMS MAGIC SHINING BUTTER COOKIE 128GM 3530.00,26
MULAKU 1KG,90
SUGAR 2KG,125
SUGAR 3KG,33
SUGAR 250G,20
SUGAR 5KG,30
SUGAR 1KG,236
SUGAR 500 GM,20
RICE JAYA KURUVA,400
PARIP 1KG,80
MUTHIRA 250GM,40
KADALA 250G,40
THENNAI,50
SANGU RICE,500
PARIP 500GM,100
PARIP 250GM,80
MUTHIRA 1KG,60
MUTHIRA 1/2KG,60
UZHUNNU 1KG,30
UZHUNNU 1/2KG,30
UZHYUNNU 250G,20
KADALA 1/2KG,60
KADALA 1KG,60
GOLDWINNER SF OIL 500ML,140
